provinsi,kelompok_umur,tahun,nilai_aps
SULAWESI TENGAH,19-23,2025,26.5
SULAWESI TENGAH,7-12,2025,98.56
SULAWESI TENGGARA,13-15,2025,96.53
SULAWESI TENGGARA,16-18,2025,79.58
SULAWESI TENGGARA,19-23,2025,33.67
SULAWESI TENGGARA,7-12,2025,99.05
SULAWESI UTARA,13-15,2025,96.11
SULAWESI UTARA,16-18,2025,71.45
SULAWESI UTARA,19-23,2025,25.57
SULAWESI UTARA,7-12,2025,99.28
SUMATERA BARAT,13-15,2025,97.0
SUMATERA BARAT,16-18,2025,85.04
SUMATERA BARAT,19-23,2025,38.84
SUMATERA BARAT,7-12,2025,99.63
SUMATERA SELATAN,13-15,2025,95.68
SUMATERA SELATAN,16-18,2025,73.78
SUMATERA SELATAN,19-23,2025,21.24
SUMATERA SELATAN,7-12,2025,99.5
SUMATERA UTARA,13-15,2025,97.67
SUMATERA UTARA,16-18,2025,77.51
SUMATERA UTARA,19-23,2025,30.48
SUMATERA UTARA,7-12,2025,99.54
